property_name,price,house_type,area_in_sq_ft,no_of_bedrooms,no_of_bathrooms,no_of_receptions,city,postal_code,location,nearest_station,postcode_latitude,postcode_longitude,station_latitude,station_longitude,price_per_sqft,distance_miles
Sycamore Gardens,68000,Flat / Apartment,705,2,2,2,London,W6 0AP,Hammersmith,Hammersmith,51.4951,-0.2353,51.492,-0.22364,96.45390070921985,0.55
Quarrendon Street,230000,House,1956,3,3,3,London,SW6 3SU,Fulham,Imperial Wharf,51.4739,-0.209,51.4751,-0.182927,117.58691206543968,1.13
Meredyth Road,230000,House,2083,5,5,5,London,SW13 0DS,Barnes,Barnes Bridge,51.48,-0.244546,51.472,-0.252633,110.41766682669227,0.65
Baronsmead Road,40000,House,3714,5,5,5,London,SW13 9RR,Barnes,Barnes Bridge,51.4881,-0.22162,51.472,-0.252633,10.770059235325794,1.74
Sisters Avenue,50000,Flat / Apartment,516,2,2,2,London,SW11 5SQ,Battersea,Clapham Junction,51.4635,-0.15954,51.4645,-0.170518,96.89922480620154,0.48
Warrington Gardens,127500,Flat / Apartment,1185,3,3,3,London,W9 2PZ,Maida Vale,Maida Vale,51.5232,-0.1982,51.5276,-0.190592,107.59493670886076,0.45
Pembroke Villas,450000,House,2972,3,3,3,London,W8 6PG,Kensington,High Street Kensington,51.499,-0.2006,51.5003,-0.19211,151.41318977119784,0.38
North End Road,175000,House,2125,4,4,4,London,NW11 7SY,Hampstead,Golders Green,51.5701,-0.18737,51.5719,-0.19548,82.3529411764706,0.37
Heath Hurst Road,260000,House,2350,4,4,4,London,NW3 2RU,Hampstead,Hampstead,51.5549,-0.16773,51.5565,-0.178301,110.63829787234043,0.47
Tercelet Terrace,345000,House,2354,4,4,4,London,NW3 7LW,Hampstead,Hampstead,51.5565,-0.1829,51.5565,-0.178301,146.55904842820732,0.2
Kersley Street,235000,House,2183,5,5,5,London,SW11 4PR,Battersea,Clapham Junction,51.473,-0.1645,51.4645,-0.170518,107.6500229042602,0.64
Buckingham Gate,237500,Flat / Apartment,1218,2,2,2,London,SW1E 6LB,St Jamess,Victoria,51.4994,-0.137801,51.4952,-0.1445,194.99178981937604,0.41
Camelot Close,199500,House,1841,5,5,5,London,SW19 7EA,Wimbledon,Wimbledon,51.4285,-0.194987,51.4215,-0.206403,108.36501901140684,0.69
Clarendon Close,10000,House,1154,4,4,4,London,E9 7BY,South Hackney,Homerton,51.5495,-0.0376,51.5484,-0.0412,8.665511265164644,0.17
Klea Avenue,179500,House,2314,5,5,5,London,SW4 9HG,Clapham,Clapham Common,51.4601,-0.1348,51.4621,-0.137359,77.57130509939499,0.18
Molyneux Street,245000,House,1483,3,3,3,London,W1H 5HW,Marylebone,Oxford Circus,51.5177,-0.1606,51.5153,-0.142008,165.20566419420095,0.82
Gatti House,350000,Flat / Apartment,1770,2,2,2,London,WC2R 0NR,Covent Garden,Temple,51.511,-0.1191,51.5113,-0.1145,197.74011299435028,0.2
Thornhill Crescent,85000,Flat / Apartment,773,2,2,2,London,N1 1BJ,Islington,Angel,51.5413,-0.11457,51.5325,-0.106036,109.96119016817593,0.71
Belsize Square,78000,Flat / Apartment,654,2,2,2,London,NW3 4HL,Hampstead,Hampstead,51.5472,-0.16914,51.5565,-0.178301,119.26605504587155,0.75
Milton Road,90000,House,1081,3,3,3,London,SW14 8JP,Mortlake,Mortlake,51.4727,-0.259624,51.4699,-0.268523,83.25624421831637,0.43
Drakefield Road,250000,House,3986,6,6,6,London,SW17 8RR,Tooting,Tooting,51.4975,-0.235464,51.4278,-0.167967,62.719518314099346,5.62
Chiswick High Road,57500,Flat / Apartment,773,2,2,2,London,W4 4AG,Chiswick,Chiswick Park,51.4964,-0.2833,51.4946,-0.267874,74.38551099611902,0.68
Bewick Street,125000,House,1708,5,5,5,London,SW8 3TA,Kensington,Vauxhall,51.4721,-0.1279,51.4875,-0.12293,73.18501170960188,1.09
Overstrand Mansions,157500,Flat / Apartment,1580,3,3,3,London,SW11 4EZ,Battersea,Clapham Junction,51.475,-0.15778,51.4645,-0.170518,99.68354430379746,0.91
Somerset Road,475000,House,6602,6,6,6,London,SW19 5JZ,Wimbledon,Wimbledon,51.4249,-0.198997,51.4215,-0.206403,71.94789457740079,0.4
Burleigh Place,117500,House,1909,4,4,4,London,SW15 6ES,Putney,Putney Bridge,51.4854,-0.247242,51.4683,-0.208795,61.55055002619172,2.03
Freshford Street,120000,House,1771,4,4,4,London,SW18 3TF,Wandsworth,Wandsworth Town,51.4445,-0.200223,51.461,-0.188251,67.75832862789385,1.25
Ellerton Road,170000,House,2374,5,5,5,London,SW18 3NH,Wandsworth,Wandsworth Town,51.45,-0.202952,51.461,-0.188251,71.60909856781802,0.99
Ladbroke Crescent & Basement,10000,House,2125,2,2,2,London,W11 1PS,North Kensington,Ladbroke Grove,51.5173,-0.2074,51.5173,-0.211102,4.705882352941177,0.16
Barts Square,163500,New development,903,2,2,2,London,EC1A 9DS,Smithfield,Barbican,51.5187,-0.10021,51.5202,-0.098683,181.06312292358805,0.12
Gleneldon Road,185000,House,3753,6,6,6,London,SW16 2BZ,Streatham,Streatham,51.4895,-0.243316,51.4298,-0.131111,49.293898214761526,6.35
Windsor Court,240000,Flat / Apartment,1736,4,4,4,London,W2 4SN,Bayswater,Paddington,51.5177,-0.2042,51.5155,-0.175365,138.24884792626727,1.25
Southbank Place,120000,New development,590,1,1,1,London,SE1 7NJ,South Bank,London Bridge,51.5031,-0.11567,51.508,-0.087672,203.38983050847457,1.25
Haldane Road,125000,House,1298,2,2,2,London,SW6 7EU,Fulham,Imperial Wharf,51.4775,-0.1813,51.4751,-0.182927,96.3020030816641,0.18
Chipstead Street,230000,House,1912,3,3,3,London,SW6 3SS,Fulham,Imperial Wharf,51.4752,-0.2077,51.4751,-0.182927,120.2928870292887,1.07
Sydney House,130000,Flat / Apartment,1465,3,3,3,London,W4 1DP,Chiswick,Chiswick Park,51.4934,-0.2853,51.4946,-0.267874,88.73720136518772,0.75
Waldemar Avenue,175000,House,1580,4,4,4,London,SW6 5NA,Fulham,Imperial Wharf,51.4709,-0.1817,51.4751,-0.182927,110.75949367088607,0.29
Newstead Way,149500,House,2300,4,4,4,London,SW19 5HR,Wimbledon,Wimbledon,51.4248,-0.198548,51.4215,-0.206403,65.0,0.41
Melody Road,162500,House,1953,4,4,4,London,SW18 2QF,Wandsworth,Wandsworth Town,51.5105,-0.22278,51.461,-0.188251,83.20532514080901,3.73
