@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
'Flat / Apartment',1176,157.312925,1.15
House,1211,72.254335,3.33
House,1830,73.770492,0.48
'Flat / Apartment',760,82.236842,0.63
House,1643,97.078515,0.38
House,2979,159.44948,0.44
'Flat / Apartment',638,105.799373,0.84
'Flat / Apartment',822,109.489051,0.35
House,1195,133.891213,0.37
'Flat / Apartment',1358,276.141384,0.3
'Flat / Apartment',730,63.69863,0.18
'Flat / Apartment',842,100.950119,0.36
House,3179,102.233407,1.74
'Flat / Apartment',1200,125,0.42
'Flat / Apartment',717,62.761506,0.67
'Flat / Apartment',2123,111.869995,0.45
House,2264,78.621908,0.49
'Flat / Apartment',729,106.310014,1.38
'Flat / Apartment',1700,85.294118,0.79
'Flat / Apartment',563,75.488455,1
'Flat / Apartment',1171,192.143467,0.31
Penthouse,1946,218.396711,0.21
House,2009,9.955202,1.44
House,1260,63.492063,0.86
House,1275,70.588235,0.13
'Flat / Apartment',832,93.629808,2.09
House,1146,82.460733,2.03
'Flat / Apartment',630,87.301587,0.68
'Flat / Apartment',680,102.941176,0.35
House,1512,122.354497,0.56
'New development',541,146.950092,0.19
Penthouse,1485,67.003367,2.55
'Flat / Apartment',1043,71.907958,0.18
House,1207,74.565037,5.48
'Flat / Apartment',922,94.902386,0.74
House,1201,64.529559,0.79
'Flat / Apartment',653,86.523737,0.25
'New development',1342,14.90313,0.12
'New development',772,12.953368,0.12
House,1477,208.192282,0.39
House,1877,66.595631,0.79
'Flat / Apartment',601,148.918469,0.1
'Flat / Apartment',1273,70.699136,0.06
'Flat / Apartment',1382,61.505065,0.36
'Flat / Apartment',872,83.142202,0.96
'Flat / Apartment',433,79.676674,0.81
Penthouse,1378,123.367199,0.25
'Flat / Apartment',958,161.795407,0.25
'Flat / Apartment',1428,94.537815,0.29
House,2640,125,0.51
Penthouse,1043,60.402685,0.59
'Flat / Apartment',987,72.948328,2.55
House,2666,88.147037,0.46
'Flat / Apartment',703,113.798009,0.12
House,1909,94.290204,0.68
House,2942,56.084296,6.36
'Flat / Apartment',472,778.601695,0.43
'Flat / Apartment',1081,87.419056,0.19
'Flat / Apartment',560,122.321429,0.14
House,1582,69.532238,0.56
'New development',606,142.739274,0.77
'Flat / Apartment',696,104.166667,0.34
House,1310,91.603053,1.22
House,2126,79.962371,1.32
'Flat / Apartment',574,74.041812,3.61
'Flat / Apartment',596,88.087248,3.9
'Flat / Apartment',722,114.265928,1.49
'Flat / Apartment',1481,118.163403,1.99
House,1632,67.401961,3.89
'Flat / Apartment',626,84.664537,1.24
'Flat / Apartment',1149,156.222802,0.19
'Flat / Apartment',805,90.062112,0.45
'Flat / Apartment',996,77.811245,0.38
House,1242,68.438003,0.3
House,1510,55.960265,6.36
'Flat / Apartment',826,102.905569,0.74
'Flat / Apartment',977,89.559877,0.25
House,1354,7.385524,0.52
'Flat / Apartment',751,139.813582,0.38
'Flat / Apartment',765,75.163399,0.85
'Flat / Apartment',1013,98.2231,0.51
'New development',1440,107.291667,0.92
House,1647,78.627808,2.03
House,1467,122.699387,0.58
'Flat / Apartment',863,89.803013,2.09
Penthouse,1084,81.642066,0.15
'Flat / Apartment',821,60.292326,2.24
'Flat / Apartment',455,131.868132,0.82
House,3622,94.561016,0.12
House,2278,65.847234,1.21
'Flat / Apartment',708,112.99435,1.51
'Flat / Apartment',1020,102.941176,0.59
'Flat / Apartment',628,107.484076,0.31
'Flat / Apartment',1077,81.244197,0.11
'Flat / Apartment',778,96.401028,0.68
'New development',1000,68.5,0.13
House,2435,16.427105,0.26
House,1771,75.381141,2.03
'New development',1265,177.865613,0.38
'Flat / Apartment',1612,100.806452,0.61
'Flat / Apartment',723,117.565698,0.42
'Flat / Apartment',536,102.61194,0.42
House,1259,111.199365,0.42
House,1335,89.88764,0.12
'Flat / Apartment',767,64.537158,2.72
House,2479,110.931827,0.79
House,2110,79.383886,0.33
'Flat / Apartment',1316,121.200608,0.41
'Flat / Apartment',1171,119.12895,0.66
'Flat / Apartment',2435,135.318275,0.22
'Flat / Apartment',857,93.348891,0.48
House,1669,197.723188,0.49
House,1735,129.682997,0.22
'Flat / Apartment',585,94.017094,1.2
House,2813,115.535016,0.59
House,3175,94.173228,1.11
'Flat / Apartment',566,83.922261,0.48
'Flat / Apartment',885,84.745763,0.83
'Flat / Apartment',858,78.671329,1.46
'Flat / Apartment',1016,93.503937,1.07
'Flat / Apartment',495,90.909091,0.61
'Flat / Apartment',1547,145.442793,1.27
House,1087,246.090156,0.41
'Flat / Apartment',943,132.555673,1.38
'Flat / Apartment',861,98.722416,1.27
'Flat / Apartment',1514,6.60502,0.2
'Flat / Apartment',687,120.087336,0.79
'Flat / Apartment',1091,96.24198,0.51
House,3116,76.219512,0.99
House,3235,91.190108,2.04
'Flat / Apartment',1219,130.844955,0.87
House,2243,167.186803,0.29
'Flat / Apartment',599,91.819699,1.07
'Flat / Apartment',1048,56.29771,0.06
'New development',591,219.62775,0.13
'Flat / Apartment',572,78.671329,0.62
House,1842,97.448426,0.62
'Flat / Apartment',450,83.333333,0.98
'Flat / Apartment',929,71.044133,1.18
'Flat / Apartment',858,90.32634,1.11
'Flat / Apartment',875,113.714286,0.49
House,1520,88.815789,1.46
'Flat / Apartment',887,60.315671,6.35
'Flat / Apartment',344,111.918605,0.4
'Flat / Apartment',723,165.283541,0.31
Penthouse,1260,94.84127,2.05
'Flat / Apartment',979,160.878447,0.12
House,2381,155.396892,0.41
'Flat / Apartment',474,116.033755,0.91
House,2402,176.935887,0.38
House,1668,77.93765,0.29
'Flat / Apartment',491,127.291242,0.28
'Flat / Apartment',667,66.716642,0.97
'Flat / Apartment',743,90.174966,0.16
House,1837,75.394665,0.27
House,2305,71.583514,0.21
'Flat / Apartment',768,81.380208,0.55
'Flat / Apartment',800,124.375,0.16
'Flat / Apartment',594,78.282828,0.31
'Flat / Apartment',1299,100.076982,1.03
House,3165,6.319115,1.09
'Flat / Apartment',1138,94.463972,0.18
House,4980,10.040161,0.91
'New development',2431,71.986837,0.61
House,1679,110.184634,0.67
'Flat / Apartment',1054,85.388994,0.61
'Flat / Apartment',3943,121.607913,1.99
'Flat / Apartment',568,105.633803,0.74
'Flat / Apartment',956,69.560669,3.42
House,2335,70.663812,5.45
House,2030,110.837438,0.77
House,1773,70.219966,0.35
'Flat / Apartment',510,85.294118,0.14
House,2315,8.639309,0.76
Penthouse,623,112.359551,0.39
'New development',801,91.13608,0.31
House,4503,64.290473,5.58
'Flat / Apartment',1275,223.529412,0.44
'Flat / Apartment',869,69.044879,2.21
House,3071,76.522305,0.1
'Flat / Apartment',662,101.208459,0.31
'Flat / Apartment',776,151.417526,0.22
House,1953,79.365079,0.66
House,2116,94.281664,0.78
'Flat / Apartment',809,241.038319,0.87
Duplex,940,77.12766,1.37
House,2293,98.124727,0.51
'Flat / Apartment',708,56.497175,0.9
'Flat / Apartment',1186,126.475548,0.73
House,2598,82.755966,5.45
House,1133,78.993822,1.23
House,2243,96.968346,0.52
House,2012,86.978131,0.95
House,1888,132.415254,0.81
House,760,121.710526,0.17
'Flat / Apartment',481,114.345114,0.25
House,2526,91.053048,0.24
'Flat / Apartment',664,97.891566,2.07
'New development',813,73.800738,0.53
'Flat / Apartment',941,82.359192,1
'Flat / Apartment',1160,81.896552,0.79
House,2434,67.789647,0.45
'Flat / Apartment',909,11.0011,0.23
'Flat / Apartment',1281,76.112412,0.08
'Flat / Apartment',1097,61.531449,3.31
'Flat / Apartment',2176,160.615809,0.39
'Flat / Apartment',507,69.033531,0.52
'Flat / Apartment',763,163.826999,1.15
'Flat / Apartment',1022,78.277886,1.27
'Flat / Apartment',747,98.393574,0.52
'New development',1495,133.444816,0.46
House,2355,57.324841,0.75
House,1255,79.282869,0.35
House,2680,7.462687,5.6
'Flat / Apartment',1019,73.60157,6.33
'Flat / Apartment',1849,78.420768,0.63
'New development',1203,108.063175,0.3
'Flat / Apartment',833,96.038415,0.79
House,2226,8.984726,0.31
'Flat / Apartment',411,87.591241,0.39
'Flat / Apartment',970,97.938144,0.4
'Flat / Apartment',840,351.190476,0.37
House,1572,76.335878,5.51
'New development',6333,23.685457,0.49
Penthouse,1255,75.697211,0.23
'Flat / Apartment',939,159.211928,1.37
House,2738,100.438276,0.5
'Flat / Apartment',694,88.616715,2.04
'Flat / Apartment',817,70.991432,3.64
'Flat / Apartment',695,68.345324,0.61
'Flat / Apartment',1152,45.572917,6.34
'Flat / Apartment',500,65,0.43
'Flat / Apartment',1039,95.765159,0.84
House,1275,78.039216,0.43
House,1775,72.957746,0.45
House,1758,65.415245,3.54
House,1432,76.815642,3.85
'Flat / Apartment',661,84.720121,3.55
'Flat / Apartment',471,100.849257,0.4
Penthouse,1052,104.562738,0.4
'Flat / Apartment',292,136.30137,1.35
House,776,108.891753,0.36
House,1677,125.223614,0.61
'Flat / Apartment',1359,102.649007,1.14
'Flat / Apartment',1013,88.845015,0.97
House,1623,113.986445,0.34
'Flat / Apartment',2774,162.22062,0.7
'Flat / Apartment',868,172.235023,0.4
House,1489,83.613163,0.28
'Flat / Apartment',1087,87.396504,0.86
House,4415,74.745187,0.17
'Flat / Apartment',814,98.280098,0.41
House,2853,10.515247,0.45
House,2299,102.218356,0.76
'Flat / Apartment',1174,158.432709,0.39
'Flat / Apartment',601,141.430948,0.18
'Flat / Apartment',929,69.967707,0.22
'Flat / Apartment',780,99.358974,0.99
'Flat / Apartment',693,90.18759,0.3
'New development',1175,75.319149,0.8
'New development',647,91.962906,2.11
'New development',657,90.563166,2.11
'Flat / Apartment',1420,52.816901,0.49
'Flat / Apartment',1203,145.469659,0.91
'Flat / Apartment',701,82.025678,0.47
House,1272,102.201258,0.37
'Flat / Apartment',864,75.231481,0.11
'Flat / Apartment',1471,186.947655,0.82
'Flat / Apartment',1540,147.727273,0.53
'Flat / Apartment',887,145.997745,0.3
'Flat / Apartment',764,99.47644,0.23
'Flat / Apartment',820,103.658537,0.31
House,1799,87.548638,0.34
'New development',667,93.703148,0.37
House,2199,86.40291,0.19
House,3334,86.832633,0.46
'Flat / Apartment',748,96.925134,0.41
'Flat / Apartment',580,129.310345,0.83
House,1324,83.081571,0.49
'Flat / Apartment',2168,108.394834,1.01
'Flat / Apartment',1959,109.749872,0.59
House,2346,55.41347,0.44
'Flat / Apartment',1082,73.475046,0.68
'Flat / Apartment',1888,71.504237,0.66
'Flat / Apartment',721,70.73509,0.18
'Flat / Apartment',469,117.270789,1.8
'Flat / Apartment',619,102.584814,0.37
'Flat / Apartment',669,100.149477,0.99
'Flat / Apartment',1173,8.525149,0.06
House,1616,225.866337,0.53
House,1255,85.657371,3.39
House,4661,79.274834,2.07
'Flat / Apartment',524,95.419847,0.48
'Flat / Apartment',926,92.332613,0.64
'Flat / Apartment',693,97.402597,0.59
House,1324,97.809668,0.36
House,1920,75.520833,0.93
House,1558,107.509628,0.23
'Flat / Apartment',458,98.253275,3.42
'Flat / Apartment',818,73.349633,3.42
'Flat / Apartment',565,92.920354,3.42
'Flat / Apartment',791,107.458913,0.37
'Flat / Apartment',663,165.158371,0.42
'Flat / Apartment',1374,187.409025,0.3
'Flat / Apartment',1089,160.697888,0.39
House,1010,193.069307,2.04
'Flat / Apartment',757,184.280053,0.3
House,2282,140.22787,0.24
'Flat / Apartment',476,162.815126,0.2
House,1433,160.502442,0.43
'Flat / Apartment',483,62.111801,0.84
House,1787,100.447678,0.59
House,1888,82.097458,0.58
'Flat / Apartment',985,88.832487,0.89
House,2858,82.225332,0.22
'Flat / Apartment',1730,112.716763,1.17
House,1102,127.041742,0.86
House,3558,77.290613,0.49
'Flat / Apartment',770,64.935065,1
'Flat / Apartment',635,137.007874,0.22
'Flat / Apartment',689,168.359942,0.15
'New development',1023,131.964809,0.75
'Flat / Apartment',1575,68.253968,0.86
'Flat / Apartment',848,81.957547,0.13
House,1350,90.740741,0.12
House,2668,86.206897,0.35
'Flat / Apartment',848,64.858491,5.4
'Flat / Apartment',640,70.3125,0.54
'Flat / Apartment',1399,46.461758,0.51
'Flat / Apartment',963,98.650052,0.74
'Flat / Apartment',747,118.473896,0.28
House,1688,94.490521,1.07
House,705,95.744681,1.29
House,3491,71.612718,0.56
'New development',672,115.327381,0.82
'Flat / Apartment',1081,92.044403,0.48
'Flat / Apartment',640,89.0625,1.08
'Flat / Apartment',935,101.604278,0.96
'Flat / Apartment',569,96.660808,0.22
'Flat / Apartment',1101,108.991826,0.47
'Flat / Apartment',1961,96.889342,0.69
'Flat / Apartment',721,83.217753,1.22
'Flat / Apartment',549,81.967213,0.26
House,2142,137.721755,1.62
House,2064,86.967054,0.48
'Flat / Apartment',1030,82.524272,3.63
'Flat / Apartment',930,91.397849,5.52
'Flat / Apartment',1384,158.598266,0.41
'Flat / Apartment',560,125,0.5
House,2128,99.859023,1.44
'Flat / Apartment',1033,94.385286,0.82
'Flat / Apartment',1467,13.633265,0.2
'Flat / Apartment',677,66.469719,0.28
'Flat / Apartment',502,74.701195,0.15
'Flat / Apartment',562,115.658363,0.64
House,2177,101.0565,0.35
House,1835,76.021798,3.41
'Flat / Apartment',590,63.559322,0.2
'Flat / Apartment',956,125.523013,0.06
House,2580,96.705426,0.66
'Flat / Apartment',662,98.187311,0.74
'Flat / Apartment',1159,107.851596,0.96
'Flat / Apartment',847,91.49941,0.2
'Flat / Apartment',774,89.793282,3.44
'Flat / Apartment',526,71.292776,0.61
'Flat / Apartment',930,89.247312,0.36
'Flat / Apartment',526,120.722433,0.33
'Flat / Apartment',976,130.635246,0.29
'Flat / Apartment',1313,83.777609,0.8
Penthouse,2922,154.004107,0.59
'Flat / Apartment',1295,212.355212,0.22
'Flat / Apartment',947,100.31679,1.24
'Flat / Apartment',789,90.621039,1.18
'Flat / Apartment',2047,151.441133,0.43
'New development',1075,183.906977,0.12
'New development',1372,173.396501,0.12
'New development',1594,181.869511,0.12
House,3546,133.953751,0.7
'Flat / Apartment',800,56.25,1.46
House,1450,85.862069,2.04
House,1262,94.690967,3.3
House,946,140.063425,0.34
'Flat / Apartment',853,90.855803,0.78
'Flat / Apartment',667,69.715142,3.4
House,2535,58.974359,5.57
'Flat / Apartment',495,131.313131,0.43
House,926,83.693305,0.37
'Flat / Apartment',1053,227.920228,0.21
House,1903,89.06989,2.13
House,1980,64.393939,5.55
House,2475,101.010101,0.15
'New development',819,103.785104,1.77
House,2101,85.435507,1.3
'Flat / Apartment',613,93.800979,3.46
House,3900,76.897436,0.44
'Flat / Apartment',781,110.755442,1.35
'Flat / Apartment',1364,109.970674,0.79
House,972,87.44856,1.49
'Flat / Apartment',554,75.812274,0.87
'Flat / Apartment',573,143.979058,0.06
'Flat / Apartment',802,268.0798,0.48
'Flat / Apartment',773,155.239327,0.34
'Flat / Apartment',463,150.107991,0.89
'Flat / Apartment',785,95.541401,0.93
'Flat / Apartment',1133,132.39188,1.34
'Flat / Apartment',822,103.406326,0.19
'Flat / Apartment',1407,88.841507,0.4
'Flat / Apartment',641,214.50858,0.7
'Flat / Apartment',517,163.44294,0.21
'Flat / Apartment',541,103.512015,0.33
'Flat / Apartment',549,74.681239,3.35
'Flat / Apartment',562,88.078292,0.07
'Flat / Apartment',882,90.136054,0.19
House,2736,7.309942,0.45
'New development',898,105.790646,0.49
'Flat / Apartment',1234,109.400324,0.56
'Flat / Apartment',962,93.555094,0.52
'Flat / Apartment',1539,97.465887,0.29
'New development',1184,88.682432,0.31
'Flat / Apartment',594,82.491582,1.06
'Flat / Apartment',741,147.773279,0.24
'Flat / Apartment',648,96.450617,1.66
House,3252,79.9508,0.44
'Flat / Apartment',2024,165.513834,0.34
House,4767,83.805328,0.15
House,2082,120.076849,0.55
'New development',883,81.540204,0.06
'New development',883,80.973952,0.06
'New development',883,80.407701,0.06
'Flat / Apartment',678,66.371681,3.5
'Flat / Apartment',955,99.47644,0.82
Penthouse,1152,104.166667,0.62
House,2290,91.703057,0.21
House,1384,92.124277,0.38
House,1013,123.395854,0.33
Penthouse,913,101.314348,1.06
'Flat / Apartment',1682,184.3044,1.21
House,3143,56.474706,0.59
House,2230,78.475336,3.78
House,1654,78.295042,0.78
House,2446,72.567457,0.21
House,1415,208.480565,0.57
'Flat / Apartment',570,114.035088,0.34
House,1674,74.671446,0.42
House,1805,72.022161,3.83
'Flat / Apartment',274,1094.708029,0.07
'Flat / Apartment',424,86.084906,0.24
'Flat / Apartment',720,65.972222,0.24
'Flat / Apartment',738,101.626016,0.22
'Flat / Apartment',2006,129.361914,0.15
'New development',1545,242.718447,0.18
House,954,141.509434,1
'Flat / Apartment',688,83.575581,0.88
'New development',986,91.27789,0.62
'Flat / Apartment',829,180.337756,0.32
'Flat / Apartment',626,79.073482,0.79
'Flat / Apartment',446,67.264574,0.75
House,1019,78.017664,1.32
House,1606,77.833126,1.42
'Flat / Apartment',1383,135.574837,1.06
'Flat / Apartment',898,77.951002,3.36
House,2650,173.584906,1.14
'New development',1049,155.386082,0.36
House,1357,68.16507,3.86
'Flat / Apartment',1816,63.325991,0.42
House,5509,72.517698,0.39
House,2342,60.845431,5.43
House,2885,114.384749,0.92
'Flat / Apartment',848,104.95283,0.38
'Flat / Apartment',523,81.26195,2.04
'Flat / Apartment',512,68.359375,0.86
'Flat / Apartment',469,85.074627,1.14
'Flat / Apartment',1001,134.365634,0.71
Penthouse,1154,103.986135,0.24
'New development',2767,102.999639,0.89
'Flat / Apartment',1055,78.199052,3.48
'Flat / Apartment',600,119.166667,0.34
'Flat / Apartment',565,150.442478,0.36
Penthouse,902,69.290466,1.2
House,4002,118.690655,0.93
House,2492,88.081862,0.98
'Flat / Apartment',1056,108.901515,0.52
'Flat / Apartment',1332,93.843844,0.36
'Flat / Apartment',631,166.402536,0.07
'Flat / Apartment',1641,100.548446,0.28
House,1962,81.549439,0.75
'Flat / Apartment',1100,77.272727,0.24
House,1867,72.308516,3.81
House,2140,85.280374,3.26
House,3801,61.825835,3.81
Penthouse,1039,76.997113,0.27
'Flat / Apartment',1152,95.486111,0.11
'Flat / Apartment',625,92,0.47
'New development',1712,80.315421,0.25
House,1845,90.785908,1.24
'Flat / Apartment',964,72.614108,0.33
House,2151,65.086007,1.3
'Flat / Apartment',1846,178.494041,0.28
'Flat / Apartment',660,74.090909,0.82
Penthouse,831,167.870036,0.48
'Flat / Apartment',834,143.884892,0.44
'Flat / Apartment',784,88.647959,0.16
'Flat / Apartment',822,60.827251,0.1
'Flat / Apartment',880,107.954545,0.6
'Flat / Apartment',1215,125.514403,0.37
Penthouse,1409,248.048261,0.35
'Flat / Apartment',1010,84.158416,0.67
'Flat / Apartment',2750,154.545455,0.42
'Flat / Apartment',624,124.198718,0.42
'Flat / Apartment',386,116.580311,0.64
'Flat / Apartment',458,141.921397,0.38
'New development',1776,216.779279,0.4
'Flat / Apartment',832,156.25,0.34
House,1253,71.827614,0.25
'Flat / Apartment',1107,135.501355,0.13
Duplex,1295,83.011583,0.44
'Flat / Apartment',928,123.922414,0.42
House,3953,74.626866,1.56
House,2768,100.975434,0.86
'Flat / Apartment',1100,104.545455,0.35
House,1543,184.70512,0.25
House,2090,90.909091,0.94
'Flat / Apartment',517,106.382979,0.9
House,1777,87.225661,5.44
'Flat / Apartment',902,11.086475,1.18
'New development',3682,67.897882,1.04
House,1305,68.582375,0.51
'Flat / Apartment',797,81.555834,3.78
'Flat / Apartment',1504,275.930851,1.93
'Flat / Apartment',1883,103.558152,0.48
'Flat / Apartment',1821,151.015925,0.19
'Flat / Apartment',529,103.969754,0.58
House,1860,80.645161,0.92
House,2090,93.301435,0.64
'Flat / Apartment',1830,117.486339,1.1
House,2682,104.399702,1.17
'Flat / Apartment',816,91.911765,0.21
House,6388,10.958046,0.37
'Flat / Apartment',553,71.428571,2.53
'Flat / Apartment',661,103.630862,0.15
'Flat / Apartment',986,80.628803,0.86
'Flat / Apartment',570,105.263158,0.3
'Flat / Apartment',616,101.461039,0.31
'Flat / Apartment',832,93.149038,0.67
'Flat / Apartment',880,133.522727,0.82
House,1449,82.815735,0.31
'Flat / Apartment',1901,15.781168,0.55
'Flat / Apartment',787,123.888183,0.42
Penthouse,2402,110.324729,0.25
'Flat / Apartment',793,72.509458,1.27
'Flat / Apartment',1657,226.312613,1.28
'Flat / Apartment',893,81.74692,0.12
House,1268,86.356467,0.43
House,2087,210.828941,1.43
House,1625,113.846154,1.31
'Flat / Apartment',908,121.145374,1.09
'Flat / Apartment',971,153.964985,0.14
'Flat / Apartment',504,74.404762,6.34
'Flat / Apartment',473,89.852008,5.42
'Flat / Apartment',767,88.005215,0.26
House,3203,101.467374,1.28
House,2336,76.840753,0.17
'Flat / Apartment',1380,7.246377,0.41
'Flat / Apartment',1155,81.385281,2.05
'Flat / Apartment',305,1311.311475,0.29
'Flat / Apartment',415,87.951807,0.61
'Flat / Apartment',892,84.080717,0.24
House,2247,82.331998,3.58
'Flat / Apartment',892,11.210762,1.33
'Flat / Apartment',675,188.888889,0.4
'Flat / Apartment',1945,115.681234,3.3
House,4847,77.367444,0.59
'Flat / Apartment',880,85.227273,0.37
'Flat / Apartment',680,73.529412,3.34
'Flat / Apartment',1282,124.804992,0.98
'Flat / Apartment',836,83.732057,0.44
'Flat / Apartment',767,101.694915,0.35
House,1782,154.320988,0.44
'Flat / Apartment',603,109.452736,0.11
House,1602,74.594257,5.49
House,1993,85.248369,0.22
House,1450,86.206897,0.37
'Flat / Apartment',945,84.656085,0.15
House,2351,95.703956,0.85
'Flat / Apartment',1203,103.906899,0.52
House,3478,53.910293,6.34
House,2804,44.579173,0.61
House,2605,105.566219,1.19
'Flat / Apartment',896,61.383929,3.87
'Flat / Apartment',703,105.974395,0.45
'Flat / Apartment',654,80.275229,2.03
'Flat / Apartment',882,130.385488,0.44
House,2861,87.382034,1.11
'New development',612,171.568627,1.21
Penthouse,1455,199.312715,0.09
House,2910,67.869416,5.59
House,2959,94.626563,0.85
'Flat / Apartment',732,191.256831,0.18
'Flat / Apartment',1242,58.373591,1.06
'Flat / Apartment',1335,14.981273,0.36
'Flat / Apartment',838,101.431981,0.93
'Flat / Apartment',440,57.954545,1.52
'Flat / Apartment',919,86.507073,0.19
'New development',843,177.935943,0.2
House,1813,179.260894,1.45
'Flat / Apartment',893,61.590146,0.58
'Flat / Apartment',418,119.617225,0.8
House,3601,81.921688,0.4
House,1675,67.761194,3.88
'Flat / Apartment',1018,63.850688,1
House,2835,82.892416,0.38
'Flat / Apartment',666,119.369369,0.3
'Flat / Apartment',1963,96.790627,1.05
House,1907,102.254851,0.98
'Flat / Apartment',1332,138.888889,0.31
House,3480,114.798851,0.49
House,1269,177.304965,0.23
House,3100,83.709677,0.6
'Flat / Apartment',767,84.745763,0.93
'Flat / Apartment',783,87.484036,0.8
'Flat / Apartment',1026,58.479532,0.39
'Flat / Apartment',518,99.420849,0.11
'Flat / Apartment',1072,69.962687,0.48
House,2567,104.986365,0.12
'New development',2000,180,0.2
'New development',1075,97.674419,0.43
'Flat / Apartment',810,70.987654,0.77
'Flat / Apartment',536,93.283582,0.93
'Flat / Apartment',753,105.577689,0.34
'Flat / Apartment',574,95.818815,0.76
'Flat / Apartment',960,128.645833,0.8
'Flat / Apartment',1452,178.719008,0.71
House,1467,61.349693,0.5
House,1730,73.699422,0.76
'Flat / Apartment',1665,162.162162,0.68
'Flat / Apartment',798,81.453634,0.59
'Flat / Apartment',425,111.764706,0.7
'Flat / Apartment',647,69.551777,0.6
'New development',728,75.549451,0.75
House,1398,82.260372,0.12
'Flat / Apartment',702,84.757835,1.19
House,5613,86.406556,0.82
House,4923,64.899452,2.03
'New development',925,85.945946,0.82
House,2454,93.520782,0.43
House,2872,97.493036,0.14
House,2147,67.536097,0.24
'New development',3336,88.429257,5.46
'Flat / Apartment',537,116.387337,0.13
House,1502,6.65779,0.57
'New development',800,71.875,0.39
'Flat / Apartment',590,72.033898,5.43
'Flat / Apartment',486,720.154321,0.11
House,2366,76.077768,0.57
'Flat / Apartment',958,109.60334,0.62
'Flat / Apartment',1763,90.754396,0.99
House,3908,115.148414,1.5
'Flat / Apartment',1083,110.803324,0.7
'Flat / Apartment',1753,142.327439,0.39
House,1750,72.857143,0.38
'Flat / Apartment',798,187.969925,0.25
'Flat / Apartment',630,95.238095,0.31
'Flat / Apartment',908,121.145374,0.23
House,971,59.217302,1.17
'Flat / Apartment',893,103.583427,0.13
'Flat / Apartment',2500,190,0.44
House,2189,9.136592,0.81
House,1347,96.510765,0.67
'Flat / Apartment',2043,53.842389,2.04
'Flat / Apartment',890,134.831461,0.5
'Flat / Apartment',944,97.987288,0.45
'Flat / Apartment',961,150.884495,0.78
'Flat / Apartment',1623,135.243376,0.34
'Flat / Apartment',797,69.008783,0.58
House,1360,101.102941,2.04
'Flat / Apartment',847,51.948052,2.52
'Flat / Apartment',1956,178.936605,0.09
'Flat / Apartment',895,53.072626,0.68
'Flat / Apartment',1312,62.881098,0.76
House,2956,118.403248,1.32
'Flat / Apartment',1474,186.567164,0.74
'Flat / Apartment',928,67.349138,0.21
'New development',1487,87.088097,0.4
House,2995,98.497496,3.37
House,1907,68.1699,0.56
House,1020,146.568627,0.99
'Flat / Apartment',922,86.225597,1.13
House,2106,68.850902,0.32
'Flat / Apartment',860,92.44186,0.59
'Flat / Apartment',993,77.039275,3.54
House,2309,93.113902,0.55
'Flat / Apartment',616,133.928571,0.23
House,1703,92.483852,0.78
House,1900,71.052632,0.98
'Flat / Apartment',1003,204.386839,1.98
'Flat / Apartment',943,92.788971,0.59
House,1445,88.235294,5.48
House,2833,100.600071,0.93
House,3775,92.715232,0.73
House,2618,71.619557,1.01
House,2139,98.176718,1.13
'Flat / Apartment',2315,161.987041,0.49
'Flat / Apartment',1289,190.069822,0.4
'Flat / Apartment',554,89.891697,0.52
'Flat / Apartment',795,74.213836,3.35
'Flat / Apartment',756,119.047619,0.31
'Flat / Apartment',850,140.588235,0.3
'Flat / Apartment',1268,173.107256,0.41
House,3029,79.234071,1.41
'Flat / Apartment',975,87.179487,0.78
'Flat / Apartment',1070,95.794393,1.84
'Flat / Apartment',411,126.520681,1.58
House,2158,90.361446,2.1
House,1364,94.941349,0.52
'Flat / Apartment',547,74.954296,2.39
'Flat / Apartment',541,115.526802,0.58
'Flat / Apartment',571,113.835377,0.43
'Flat / Apartment',735,80.952381,1.03
'New development',1191,222.502099,0.17
House,2882,86.745316,3.57
House,1661,57.194461,1.33
'Flat / Apartment',2056,59.581712,2.03
'Flat / Apartment',1118,160.554562,0.46
House,2899,79.165229,2.04
'Flat / Apartment',2248,22.241993,0.25
House,3414,84.797891,2.05
'Flat / Apartment',728,13.736264,0.42
'Flat / Apartment',825,75.757576,0.54
House,4088,7.338552,0.9
'New development',4438,89.004056,0.3
House,3295,91.016692,0.85
'Flat / Apartment',925,104.324324,0.3
House,2127,9.402915,1.44
'New development',3802,90.741715,0.48
'Flat / Apartment',555,161.261261,0.33
House,1256,87.181529,1.28
'New development',3900,72.307692,1.04
House,2835,79.365079,0.28
House,1667,86.982603,0.12
'Flat / Apartment',997,70.210632,0.06
Penthouse,1836,100.762527,0.4
House,3325,9.022556,0.16
House,2232,68.324373,0.51
Penthouse,1117,120.859445,0.25
'Flat / Apartment',636,98.27044,0.59
House,1576,104.695431,0.13
'Flat / Apartment',500,90,0.32
House,1372,118.440233,0.48
'Flat / Apartment',848,100.235849,0.55
House,2469,91.130012,0.32
House,2803,140.920442,0.34
House,2396,73.038397,1.02
'Flat / Apartment',678,176.253687,0.11
'Flat / Apartment',1077,60.352832,1.02
