@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
House,1666,90.036014,0.42
House,1629,82.872928,1.12
'Flat / Apartment',1069,84.190833,1.06
House,2500,110,0.24
House,2730,106.043956,0.86
House,2949,76.29705,0.58
'New development',1262,160.063391,0.77
House,1308,74.541284,5.4
House,2790,57.168459,5.62
'Flat / Apartment',978,86.912065,0.24
'Flat / Apartment',682,83.577713,1.44
House,2411,99.543758,0.25
'Flat / Apartment',496,95.766129,2.91
House,1934,62.04757,2.03
House,4370,74.370709,0.68
House,2153,110.311194,0.39
'Flat / Apartment',595,109.243697,0.4
House,876,147.83105,2.07
House,905,11.049724,2.11
'Flat / Apartment',1675,112.537313,1.09
'Flat / Apartment',797,79.673777,0.31
'New development',4420,79.072398,0.51
House,1378,87.082729,3.28
House,1751,68.532267,1.25
House,2330,68.669528,3.56
House,1214,65.815486,2.06
'Flat / Apartment',876,97.031963,2.06
House,1323,188.964475,0.7
House,2547,155.084413,0.36
House,1393,215.003589,0.39
'Flat / Apartment',888,112.04955,0.32
House,1857,121.163166,0.25
'New development',538,78.066914,0.76
'Flat / Apartment',422,1007.097156,0.45
'Flat / Apartment',2074,103.664417,0.37
House,1645,91.18541,0.07
House,2115,74.468085,0.33
House,2242,66.90455,0.11
'Flat / Apartment',600,91.666667,0.24
'Flat / Apartment',381,124.671916,0.32
'Flat / Apartment',791,75.221239,0.62
House,2937,76.608784,1.6
'Flat / Apartment',907,83.241455,0.22
'Flat / Apartment',1218,73.891626,0.8
'Flat / Apartment',1560,127.564103,0.41
House,1464,81.625683,0.8
'Flat / Apartment',696,64.655172,0.71
'Flat / Apartment',339,95.870206,0.07
House,1541,74.626866,0.07
'Flat / Apartment',1456,58.379121,2.03
'New development',1004,87.549801,2.1
House,1875,69.066667,0.21
'Flat / Apartment',695,82.733813,0.55
'Flat / Apartment',1496,274.064171,0.38
House,1919,93.798854,0.84
'Flat / Apartment',1170,136.324786,0.33
'New development',690,72.318841,0.29
Penthouse,2852,119.565217,3.39
House,1724,165.313225,0.2
'Flat / Apartment',1474,128.561737,0.31
House,1756,93.963554,0.24
House,1806,67.829457,0.68
House,2145,51.282051,1.01
House,950,115.263158,0.4
'Flat / Apartment',904,60.840708,0.45
House,2583,58.072009,3.9
'Flat / Apartment',911,82.327113,3.29
House,1822,63.117453,3.89
'Flat / Apartment',647,102.782071,0.4
'Flat / Apartment',1036,120.656371,0.3
'Flat / Apartment',632,94.936709,0.74
'Flat / Apartment',946,73.995772,0.85
House,3020,81.125828,1.13
'Flat / Apartment',853,205.158265,0.74
'New development',1033,86.640852,0.66
'Flat / Apartment',884,11.312217,0.15
House,2124,108.286252,0.56
'Flat / Apartment',444,84.459459,0.4
'New development',591,122.673435,0.64
'Flat / Apartment',1140,86.403509,0.37
'Flat / Apartment',795,73.584906,3.65
House,1993,49.924737,3.51
'Flat / Apartment',666,82.582583,0.3
'Flat / Apartment',885,141.242938,1.22
House,2396,156.510851,0.37
Studio,514,83.657588,0.49
'Flat / Apartment',891,93.15376,0.49
'Flat / Apartment',635,173.228346,0.18
'New development',1410,219.858156,0.15
'Flat / Apartment',706,131.01983,0.1
House,3319,79.843326,0.48
'Flat / Apartment',569,79.086116,1.16
'Flat / Apartment',720,90.277778,0.66
Penthouse,1209,103.391232,0.61
'Flat / Apartment',810,95.679012,0.84
House,1080,74.074074,0.58
House,1735,106.628242,0.75
House,1108,135.379061,0.98
House,2147,78.947368,1.44
'Flat / Apartment',686,109.329446,1.59
'Flat / Apartment',1492,133.042895,1.09
'Flat / Apartment',1125,97.777778,0.3
'Flat / Apartment',674,96.439169,0.44
House,2145,209.79021,0.63
'New development',2552,186.128527,1.54
House,2172,98.987109,0.19
'Flat / Apartment',964,72.095436,0.53
'Flat / Apartment',573,100.34904,0.42
'Flat / Apartment',966,201.863354,0.22
House,2365,8.45666,0.54
'Flat / Apartment',816,134.803922,0.29
House,2500,62,5.61
House,1868,80.299786,1.07
House,960,75.520833,0.32
'Flat / Apartment',739,106.224628,0.21
'Flat / Apartment',491,81.466395,0.19
House,2157,220.213259,0.96
'Flat / Apartment',931,99.355532,0.8
House,1776,101.351351,1.18
House,3144,93.829517,1.15
'New development',825,96.363636,0.42
'Flat / Apartment',798,99.62406,0.7
'New development',558,139.784946,0.75
'New development',461,86.334056,0.73
'Flat / Apartment',680,83.823529,0.35
House,1007,62.065541,5.42
House,1259,91.342335,1.02
'Flat / Apartment',703,93.172119,0.44
'Flat / Apartment',482,77.80083,1.09
House,2221,107.834309,1.3
'Flat / Apartment',614,109.120521,0.36
House,1792,80.915179,0.83
'Flat / Apartment',2203,79.437131,0.12
House,1673,134.488942,0.23
Penthouse,1424,90.941011,0.5
House,2435,71.868583,0.41
'Flat / Apartment',707,99.009901,0.19
House,2137,98.268601,1.64
House,1414,54.809052,0.47
House,2379,66.204288,3.55
'Flat / Apartment',1091,59.578368,0.18
House,2344,95.989761,0.54
House,2540,68.897638,0.44
House,1737,79.447323,0.45
House,3717,82.055421,0.17
House,3594,65.386756,0.27
'Flat / Apartment',913,369.66046,0.85
'Flat / Apartment',1138,149.384886,1.12
Penthouse,2231,208.426714,0.47
'Flat / Apartment',1074,195.530726,0.3
'New development',506,77.075099,0.06
House,1684,97.980998,0.11
